namc_code,namc_term_diacritical,query,label
BI-12,vraṇajanyarājayakṣmā,"vraṇajanyarājayakṣmā vraṇajanyarājayakṣmā the disorder is characterized by raktakṣayaḥ [diminution of rakta], vēdanā [pain] -",rājayakṣma due to wounds
BI-13,uraḥkṣatajanyarājayakṣmā,"uraḥkṣatajanyarājayakṣmā uraḥkṣatajanyarājayakṣmā the disorder is characterized by urasi kṣatē raktaṁ gacchati [blood discharge from traumatic chest/pulmonary trauma], urasi kṣatē pūyaḥ gacchati [pus discharge from traumatic chest /pulmonary trauma], urasi kṣatē ślēṣmā gacchati [mucus discharge from traumatic chest/pulmonary trauma], kāsamānaśchardayēt pītam [yellowish expectoration while coughing], kāsamānaśchardayēt raktam [expectoration of blood while coughing], kāsamānaśchardayēt asitam [blackish expectorant while coughing], kāsamānaśchardayēt aruṇam [reddish brown coloured expectorant while coughing], santaptavakṣāḥ [chest is felt to be warm/hot], atyarthaṁ dūyanātparitāmyati [faints due to exessive pain], durgandhavadanaḥ [foul odour from mouth/hallitosis], durgandhōcchvāsaḥ [foul odour emitted from breath], bhinnavarṇaḥ [altered colour/complexion of body], bhinnasvaraḥ [hoarseness of voice] -",rājayakṣma due to traumatic chest
BI-14,vātikarājayakṣmā,"vātikarājayakṣmā vātikarājayakṣmā the disorder is characterized by svarabhēdaḥ [hoarseness of voice/any defect in speaking], aṁsayōḥ śūlam [pain in shoulders], pārśvayōḥ śūlam [pain in sides of chest/flanks], aṁsayōḥ saṁkōcaḥ/saṁlōcaḥ [contraction of shoulders], pārśvayōḥ saṁkōcaḥ/saṁlōcaḥ [contraction of flanks], śiraḥśūlam [headache], aṁsamardanam [crushing type of pain in shoulders], aṅgamardaḥ [generalised bodyache], kaṇṭhōddhvaṁśaḥ [hoarseness of voice], svarabhraṁśaḥ [altered voice] -",rājayakṣma due to vāta
BI-15,paittikarājayakṣmā,"paittikarājayakṣmā paittikarājayakṣmā the disorder is characterized by jvaraḥ [fever], dāhaḥ [burning sensation], raktasya āgamaḥ/asr̥kcchardiḥ [haemoptysis], atisāraḥ [diarrhoea], pādadāhaḥ [burning in feet], aṁsadāhaḥ [burning in shoulders], pāṇidāhaḥ [burning in palms], mukhagandhaḥ [bad smell of the mouth], madaḥ [intoxication] -",rājayakṣma due to pitta
BI-16,kaphajarājayakṣmā,"kaphajarājayakṣmā kaphajarājayakṣmā the disorder is characterized by chardiḥ [vomiting], mūrdhagauravam [heaviness of head], aṅgagauravam [heaviness in the body], prasēkaḥ [excessive salivation], pīnasaḥ [cold, catarrh], śvāsaḥ [breathlessness/difficult breathing], svarasādaḥ [loss of voice], alpavahnitā [diminution of agni/reduced digestive power] -",rājayakṣma due to kapha
BI-17,yakṣmajajvaraḥ,yakṣmajajvaraḥ yakṣmajajvaraḥ - -,unmāda due to possession of yakSha
BI-18,yakṣmajaśiraḥśūlaḥ,yakṣmajaśiraḥśūlaḥ yakṣmajaśiraḥśūlaḥ - -,headache due to rājayakṣma
BI-19,asādhya-rājayakṣmā/asādhyaśōṣa,"asādhya-rājayakṣmā/asādhyaśōṣa asādhya-rājayakṣmā/asādhyaśōṣa the disorder is characterized by mahāśanam [eats more quantity food], kṣīyamāṇam [debilitated], atisāranipīḍitam [afflicted with diarrhoea], śūnamuṣkam [swelling of scrotum], śūnōdaram [enlargement/swelling of abdomen], śuklākṣam [whitish discolouration of eyes], annadvēṣṭāram [person having aversion towards food], ūrdhvaśvāsanipīḍitam [afflicted with shortness of breathing], kr̥cchrēṇa bahumēhantam [polyuria with dysuria] -",irremediable rājayakṣma
BI-20,cikitsya-rājayakṣmā,"cikitsya-rājayakṣmā cikitsya-rājayakṣmā the disorder is characterized by jvarānubandharahitam [not associated with fever], balavantam [having physical strength], kriyāsaham [able to do activities/ableto sustain treatment procedures], ātmavantam [self control], dīptāgnim [having agni well kindled i.e. digesting well], akr̥śam [not emaciated] -",curable rājayakṣma
BI-21,rājayakṣmā-upadravaḥ,"rājayakṣmā-upadravaḥ rājayakṣmā-upadravaḥ the disorder is characterized by kaṇṭhōddhvaṁsaḥ [hoarseness of voice], urōrujam [pain in the chest], jr̥mbhā [yawning], aṅgamardaḥ [generalised bodyache], niṣṭhīvaḥ [expectoration of sputum/spitting], vahnisādaḥ [diminution of agni], āsyapūtitā [putridness of mouth] -",complications of rājayakṣma
BI-22,yakṣmā-ariṣṭaḥ,"yakṣmā-ariṣṭaḥ yakṣmā-ariṣṭaḥ the disorder is characterized by aṁsābhitāpaḥ/aṁsatāpaḥ [burning sensation in shoulders/scapula], hikkā [hiccup], śōṇitacchardiḥ/raktacchardiḥ [vomiting of blood], ānāhaḥ [barborygmus with distention], pārśvarujā/pārśvaśūlam [pain in sides of chest/flanks] -",fatal signs of rājayakṣma
BJ,atikārśyam,atikārśyam atikārśyam - -,emaciation in excess
C,malavaiṣamyam,malavaiṣamyam malavaiṣamyam - -,derangement of excretory products
CA,mūtravaiṣamyam,mūtravaiṣamyam mūtravaiṣamyam - -,mūtra vitiation
CA-1,mūtrakṣayaḥ,"mūtrakṣayaḥ mūtrakṣayaḥ It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations. -",Reduced urine pattern (TM2)
CA-1,mūtrakṣayaḥ,"mūtrakṣayaḥ mūtrakṣayaḥ It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations. -",Reduced urine pattern (TM2)
CA-2,(a) mūtravṛddhiḥ,"(a) mūtravṛddhiḥ (a) mūtravṛddhiḥ It is characterized by frequent micturition, pricking pain in urinary bladder, abdominal distension, feeling of urge even after micturition. This may be explained by abnormal increase in urine production resulting in local and systemic manifestations. -",Excessive urine pattern (TM2)
CB,,- -,abnormal stool
CB-1,(a) purīṣakṣayaḥ,"(a) purīṣakṣayaḥ (a) purīṣakṣayaḥ It is characterized by gripping type of pain (colic), pain in the pericardial region, angina pectoris, pain in flanks, reverse intestinal movement of vāta associated with sound, oblique movement of vāta with sound in abdomen, increased bowel movements in flanks, less quantity of faeces. This may be explained by abnormal decrease in fecal production resulting in local and systemic manifestations. -",Depletion of faeces pattern (TM2)
CB-2,(a) purīṣavṛddhiḥ,"(a) purīṣavṛddhiḥ (a) purīṣavṛddhiḥ It is characterized by gurgling sound in flanks, heaviness and enlargement of abdomen. Gurgling sound in flanks to be changed to gurgling sounds in abdomen. This may be explained by abnormal accumulation of feces resulting in local and systemic manifestations. -",Morbid increase of feces pattern (TM2)
CB-3,(a) sāmamalaḥ,"(a) sāmamalaḥ (a) sāmamalaḥ It is characterized by obstruction in channels, diminution of physical strength, heaviness, lethargy, indigestion, spitting out, obstruction to passage of faeces, tastelessness and exhaustion without exertion. This may be explained by consequences incompletely formed stools due to diminished digestive fire. -",Faeces with undigested food residues pattern (TM2)
CC,,- -,disorders of perspiration
CC-1,(a) svedakṣayaḥ,"(a) svedakṣayaḥ (a) svedakṣayaḥ It is characterized by stiff, rigid body hairs, wasting, contracture of skin, impaired touch perception, loss of perspiration, hair fall, tearing, cracking of skin, numbness of skin, hardness, roughness of skin. This may be explained by abnormal decrease in sweat production resulting in local and systemic manifestations. -",Anhidrosis pattern (TM2)
CZ-1,,- -,coat at the root of the tongue
D,(a) agnivaiṣamyam,(a) agnivaiṣamyam (a) agnivaiṣamyam It is characterized by derangement of digestive power. This may be explained by vitiation of digestive fire in turn resulting in local and systemic effects. -,Derangement of digestive power pattern (TM2)
DA,(a) āmadoṣaḥ (a) āmavasthā,"(a) āmadoṣaḥ (a) āmavasthā (a) āmadoṣaḥ (a) āmavasthā It is characterized by reduced body strength, heaviness of the body, reduced digestive power, lethargy, indigestion, expectoration, tastelessness, feeling of weakness even without exertion. This may be explained by vitiation of digestive fire in turn resulting incomplete digestion or metabolism resulting in a suspended state of physiological processes and consequent pathologies. -","State of incomplete digestion, transformation or metabolism pattern (TM2)"
DA-1,,- -,irremediable vitiated-āma
DB,,- -,disorders of digestive power
DB-1,,- -,subdued digestive power
DB-1.1,"(a) mandāgniḥ, (a) agnisādaḥ","(a) mandāgniḥ, (a) agnisādaḥ (a) mandāgniḥ, (a) agnisādaḥ It is characterized by delayed digestion of food. This may be explained by vitiation of digestive fire in turn resulting delaying digestion and metabolism. -",Subdued digestive power pattern (TM2)
DB-2,(a) viṣamāgniḥ,(a) viṣamāgniḥ (a) viṣamāgniḥ It is characterized by irregular digestion irrespective of quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting in erratic behavour of digestive system. -,Irregular digestive power pattern (TM2)
DB-3,(a) tīkṣṇāgniḥ,(a) tīkṣṇāgniḥ (a) tīkṣṇāgniḥ It is characterized by quick digestion of varied quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting quickening digestion and metabolism. -,Elevated digestive power pattern (TM2)
DB-4,"(a) atyagniḥ, (a) bhasmakaḥ","(a) atyagniḥ, (a) bhasmakaḥ (a) atyagniḥ, (a) bhasmakaḥ It is characterized by severly increased state of digestive power leading to quick digestion of food despite of frequent and extra quantity intake. If food is not taken, leads to digestion of body tissues leading to weakness, succumbs to death, may be associated with thirst, difficulty in breathing, burning sensation, syncope, burning sensation in throat, palate, lips at the end of digestion. This may be explained by morbid increase of the digestive fire resulting accelerated metabolism to the extent that the tissues are also get affected. -",Highly elevated digestive power pattern (TM2)
€,(a) srotovaiṣamyam,(a) srotovaiṣamyam (a) srotovaiṣamyam - -,"Derangement of channels pattern (TM2), unspecified"
EA,,- -,disorders of prāṇavahasrōtas
EA-1,(a) prāṇavahasrotoduṣṭiḥ,"(a) prāṇavahasrotoduṣṭiḥ (a) prāṇavahasrotoduṣṭiḥ It is characterized by severe restricted expiration, agitated expiration, slow expiration, frequent expiration, expiration with loud sound, expiration with pain. This may be explained by derangement of channels (functional or anatomical or both) enriching vital life force. -",Derangement of channels enriching vital life force pattern (TM2)
EA-2,(a) hikkā,"(a) hikkā (a) hikkā It is characterised by uncontrolled hiccoughs which may be associated with dryness of tongue, throat, bitter sensation in mouth and thirst. (a) Vitiation of Kindling vata, Descending vata. -",Hiccough disorder (TM2)
EA-2.1,,- -,prodromes of hikkā
EA-2.2,(a) mahatīhikkā (a) gambhīrāhikkā,(a) mahatīhikkā (a) gambhīrāhikkā (a) mahatīhikkā (a) gambhīrāhikkā - -,High sound continous hiccough disorder (TM2) ⇒
EA-2.3,(a) gambhīrāhikkā,(a) gambhīrāhikkā (a) gambhīrāhikkā - -,Hiccough disorder with severe intensity (TM2) ⇒
EA-2.4,"(a) vyapetāhikkā, (a) yamalāhikkā","(a) vyapetāhikkā, (a) yamalāhikkā (a) vyapetāhikkā, (a) yamalāhikkā - -",Vyapeta hiccough disorder (TM2) ⇒
EA-2.5,(a) kṣudrā hikkā,(a) kṣudrā hikkā (a) kṣudrā hikkā - -,Hiccough disorder alleviating with food intake (TM2) ⇒
EA-2.6,annajāhikkā,"annajāhikkā annajāhikkā the disorder is characterized by śanaiḥ asambandhaṁ kṣuvaṁścāpi hikkatē/kṣavānugām [hiccough not related to anything, associtated with sneezing], hikkā pītē tathā bhuktē śamaṁ yāti/sātmyānnapānēna śamaṁ prayāti [hiccough decreased with drinking, eating/hiccough decreases with wholesome/suitable foods, liquids], hikkayati ūrdhvagaḥ [hiccough traversing upwards], arujām [painless], mandaśabdām [with little sound] -",annajahikkā
EA-2.7,asādhya-hikkā,"asādhya-hikkā asādhya-hikkā the disorder is characterized by atisaṁcitadōṣaḥ [person having excessive accumulated dōṣa], bhaktacchēdakr̥śaḥ [emaciation due to anorexia], vyādhikṣīṇadēhaḥ [emaciation due to diseases], vr̥ddhaḥ [in elderly person], ativyavāyi [person indulging in excessive sexual acts], āyamyatē [feeling of stretching], kṣīṇaḥ [weak], annadviṭ [person having aversion towards food], atimātraṁ kṣauti [excessive sneezing], nityam ūrdhvadr̥ṣṭiḥ [upward gaze], nāmyatē [bending of the body], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], artiḥ [pain], mōhaḥ [semiconsciousness or stupefaction], tr̥ṣṇā [thirst] -",irremediable hikkā
EA-2.8,hikkā-ariṣṭaḥ,"hikkā-ariṣṭaḥ hikkā-ariṣṭaḥ the disorder is characterized by bhruvau cyutiḥ [drooping of eyebrows], dāruṇāntardāhaḥ [severe internal burning sensation] -",fatal signs of hikkā
EA-3,(a) kāsaḥ,(a) kāsaḥ (a) kāsaḥ It is characterised by cough. This may be explained by: (a) Vitiated kapha and vata affecting the respiratory channels. -,Cough disorder (TM2)
EA-3.1,kāsa-pūrvarūpam,"kāsa-pūrvarūpam kāsa-pūrvarūpam the disorder is characterized by śūkapūrṇagalāsyatā/śūkapūrṇābhakaṇṭhatvam [feeling of throat as if filled with awn of barley], kaṇṭhē kaṇḍūḥ/kaṇṭhakaṇḍūḥ [itching], bhōjyānām avarōdhaḥ/bhōjyōparōdhaḥ [difficulty, deglutition or dysphagia], galatālulēpaḥ [coating], svaśabdavaiṣamyam [feeling our own voice different/odd], arōcakaḥ/aruciḥ [tastelessness], agnisādaḥ/agnimāndyaḥ [diminution of agni (digestive power)], asvāsthyaṁ hr̥dayasya [discomfort in the cardiac region/heart] -",prodromes of kāsa
EA-3.2,vātajakāsaḥ,"vātajakāsaḥ vātajakāsaḥ the disorder is characterized by hr̥cchūlam [pain in the precordium/cardiac region], pārśvaśūlam [pain in sides of chest/flanks], uraḥśūlam [pain chest], śiraḥśūlam/mūrdhaśūlam [headache], śaṅkhaśūlam [pain in temporal region], udaraśūlam [pain in the abdomen], svarabhēdaḥ/bhinnasvaraḥ [hoarseness of voice], śuṣkōraḥ [feeling of dryness in chest], śuṣkakaṇṭhaḥ [dryness of throat], śuṣkavaktraḥ [feeling of drynesss in mouth], kṣāmānanaḥ [anxious appearance of pain], hr̥ṣṭalōmnaḥ [having the hair of the body bristling or thrilling], pratāmyataḥ [loss of conciousness], nirghōṣaḥ [ratlling sound], dainyaḥ [apathy], stananaḥ [sound of hollow cough], daurbalyam/kṣīṇabalaḥ [diminution of strength], kṣīṇasvaraḥ/svarakṣayaḥ [diminution of voice], kṣīṇaujaḥ [diminution of vitality], kṣōbhaḥ [irritation in chest], mōhaḥ [confusion/delirium], śuṣkakāsaḥ [dry cough], śuṣkaṁ kaphaṁ kr̥cchrānmuktvā alpatāṁ vrajēt [dry phlegm is expelled out with difficulty and feels little better], prasaktam antaḥkapham [continually coughs till phlegm come out], prasaktavēgaḥ [constant cough], mahāvēgaḥ [with heavy bouts], rujā [pain], svanam [with noise], aṅgaharṣaḥ [horripilation] -",kāsa due to vāta
EA-3.3,pittajakāsaḥ,"pittajakāsaḥ pittajakāsaḥ the disorder is characterized by pītaniṣṭhīvanam/pittasaṁsr̥ṣṭaṁ ślēṣmāṇaṁ niṣṭhīvati/pītakaphatā [mixed with pitta/phlegm mixed with pitta/yellow colured phlegm], pītākṣitvam [yellowishness of eyes], tiktāsyatvam/tiktamukhaḥ [bitter taste in mouth], svarāmayaḥ/vaisvaryam [changed voice], urōdhūmāyanam/dhūmakaḥ [smoky sensation /hotness in chest], tr̥ṣṇā/tr̥ṣā [thirst], dāhaḥ/paridahyamānaḥ [burning sensation], mōhaḥ [confusion/delirium], aruciḥ [tastelessness], bhramaḥ [giddiness or dizziness], pratataṁ kāsamānaḥ jyōtiṁṣīva paśyati/ pratataṁ kāsavēgēna jyōtiṣāmiva darśanam [person sees stars after continuous coughing/blackouts on contionuous coughing], urōvidāhaḥ [burning sensation in chest], jvaraḥ [fever], vaktraśōṣaḥ [dryness of mouth], pītāni kaṭūni vamēt [vomiting of yellowish pungent phlegm], pāṇḍuḥ [pallor], bhramaḥ [giddiness or dizziness], pittāsr̥k-vamanam [vomiting of pitta, blood], amlakaḥ [sour belching/eructation] -",kāsa due to pitta
EA-3.4,kaphajakāsaḥ,"kaphajakāsaḥ kaphajakāsaḥ the disorder is characterized by mandāgnitvam [diminution of agni], aruciḥ/abhaktaruk/arōcakaḥ [tastelessness/loss of appetite], chardiḥ [vomiting], pīnasaḥ [cold, catarrh], utklēśaḥ [nausea/provocation of dōṣa], gauravam [heaviness], lōmaharṣaḥ/rōmaharṣaḥ [horripilation], āsyamādhuryam [sweetness in mouth], klēdaḥ [moistening /soddening], saṁsadanam/sādayuktaḥ/sadanam [fatigue], bahulaṁ kaphaṁ niṣṭhīvati [cough with profuse phlegm], madhuraṁ kaphaṁ niṣṭhīvati [sweet taste of phlegm], snigdhaṁ kaphaṁ niṣṭhīvati/snigdhaślēṣmapravartanam [unctuous phlegm], ghanaślēṣmapravartanam [thick phlegm], śvētaślēṣmapravartanam [whitish phlegm], kāsamānō hi aruk/urōऽlparuk [little or no pain on coughing], vakṣaḥ saṁpūrṇamiva manyatē [feels as if whole chest is filled with phlegm], pralipyamānēna mukhēna sīdan [stickiness of the oral cavity], śirōrujā [headache], kaphapūrṇadēhaḥ [feels as if body is filled with phlegm], sāndrakaphaṁ kāsēta [thick compact phlegm], mūrdhaṁ stimitam [heaviness of head], kaṇṭhōpalēpaḥ [feeling of coating over throat], hr̥dayaṁ stimitam [feeling as if heart is wrapped with wet cloth], kaṇḍūḥ [itching] -",kāsa due to kapha
EA-3.5,kṣatajakāsaḥ,"kṣatajakāsaḥ kṣatajakāsaḥ the disorder is characterized by śuṣkaṁ kāsatē [dry cough], saśōṇitaṁ/saraktaṁ ṣṭhīvēt [sputum with blood], pītaṁ ṣṭhīvēt [spits yellow coloured sputum], śyāvaṁ ṣṭhīvēt [spits brown coloured sputum], śuṣkaṁ ṣṭhīvēt [dry cough], grathitaṁ ṣṭhīvēt [spits thick sputum], kuthitaṁ ṣṭhīvēt [spits puruent sputum], bahu ṣṭhīvēt [spits excessive sputum], kaṇṭharujā [pain in the throat], virugṇēnēva cōrasā/vibhinnēnēva cōrasā [pain in the chest], tīkṣṇābhiḥ sūcībhiriva śūlinā tudyamānaḥ [severe needle pricking type of pain], duḥkhasparśaḥ [pain on touch], śūlaḥ [sharp pain], bhēdaḥ [breaking type of pain], pīḍā [pain/annoyance], abhitāpaḥ [burning sensation], parvabhēdaḥ [breaking type of pain in small joints], jvaraḥ [fever], śvāsaḥ [breathlessness/difficult breathing], tr̥ṣṇā [thirst], vaisvaryam [changed voice], pārāvata iva kūjan [cooing as pigeon], viśliṣṭavakṣaḥ [severed/loosened chest], kampavān [with tremor], pārśvaśūlam [pain in sides of chest/flanks], kramād vīryaṁ hīyatē [gradual depletion of virility/semen], kramād ruciḥ hīyatē [gradual loss of taste], kramād paktā hīyatē [gradual loss of digestion/agni], kramād balaṁ hīyatē [gradual loss of physical strength], kramād varṇaḥ hīyatē [gradual loss of body lustre/complexion], asr̥ṅmūtratvam [urine with blood, blood colured urine], pr̥ṣṭhagrahaḥ [stiffness of back], kaṭīgrahaḥ [stiffness of lowback] -",traumatic kāsa
EA-3.6,kṣayajakāsaḥ,"kṣayajakāsaḥ kṣayajakāsaḥ the disorder is characterized by dēhakṣayapradam/kṣīṇānāṁ dēhanāśanaḥ [emaciated], durgandhaṁ/visraṁ kaphaṁ ṣṭhīvēt [spits sputum with bad smell/smeeling like raw meat], haritaṁ kaphaṁ ṣṭhīvēt [spits green coloured sputum], raktaṁ kaphaṁ ṣṭhīvēt [spits sputum with blood], haritalōhitaṁ kaphaṁ ṣṭhīvēt [spits sputum with green colour and blood], pūyōpamaṁ/pūtipūyōpamaṁ kaphaṁ ṣṭhīvēt [spits sputum with pus/putrid sputum], pītaṁ kaphaṁ ṣṭhīvēt [spits sputum with yellow colour], utkāsamānaśca hr̥dayaṁ sthānāt cyutaṁ manyatē [feels as if heart is displaced from its site due to coughing], akasmāt uṣṇaśītārtaḥ [afflicted with sudden hot/cold], akasmāt uṣṇaśītēcchā [sudden desire for hot/cold], bahvāśitvam/bahvāśī [person with polyphagia], durbalaḥ [loss of physical strength or weakness], kr̥śaḥ [emaciated/thin /malnourished], snigdhācchamukhaḥ/snigdhaprasannavaktratvam [unctuous, clear face/unctuous, charming face], snigdhācchatvak [pleasant], śrīmaddarśanalōcanaḥ/śrīmaddarśananētratā [charming eyes,], ślakṣṇapāṇitalaḥ [glossiness of palms], ślakṣṇapādatalaḥ [glossiness of sole], satatāsuyakaḥ [always displeased], ghr̥ṇī [abusing others], jvaraḥ [fever], miśrākr̥tiḥ [dvandvaja type of jvara], pārśvaruk [pain in sides of chest/flanks], pīnasaḥ [cold, catarrh], aruciḥ [tastelessness], bhinnavarcastvam [passage of unformed (loose) feces], saṁhatavarcastvam [compact/formed stools], animittataḥ svarabhēdaḥ [hoarseness of voice without any reason], gātraśūlam [body pain], dāhaḥ [burning sensation], mōhaḥ [confusion/delirium], prāṇakṣayam upalabhēta [attains death], śuṣyan viniṣṭhīvati [spitting of pus and blood], prakṣīṇamāṁsaḥ [depletion/wasting of māṁsa], prakṣīṇarudhiraṁ sapūyam [depletion of rakta, with pus], lupyē(cyē)ta iva pārśvē [breaking /pain in flanks], hr̥dayaṁ patatīva [feels as if heart is displaced from its site due to coughing], balakṣayaḥ [loss of physical strength or weakness] -",kāsa due to atrophy
EA-3.7,kāsa-upadravaḥ,"kāsa-upadravaḥ kāsa-upadravaḥ the disorder is characterized by śvāsaḥ [breathlessness/difficult breathing], kṣayaḥ [consumption/tuberculosis], chardiḥ [vomiting], svarasādaḥ [loss of voice] -",complications of kāsa
EA-3.8,kāsa-ariṣṭaḥ,"kāsa-ariṣṭaḥ kāsa-ariṣṭaḥ the disorder is characterized by atisārō jvarō hikkā chardiḥ śūnāṇḍamēḍhratā [diarrhoea, fever, hiccup, vomiting, swelling of testis and penis], jvaraccharditr̥ṣṇātīsāraśōphinam [fever, vomiting, diarrhoea, thirst, swelling] -",fatal signs of kāsa
EA-4,(a) śvāsaḥ,"(a) śvāsaḥ (a) śvāsaḥ It is characterised by pain and tightness in the chest, breathlessness. This may be explained by: (a) Obstruction to the channels of respiration by vata and kapha. -",Dyspnoea disorder (TM2)
EA-4.1,śvāsa-pūrvarūpam,"śvāsa-pūrvarūpam śvāsa-pūrvarūpam the disorder is characterized by ānāhaḥ [barborygmus with distention], pārśvaśūlam [pain in sides of chest/flanks], pīḍanaṁ hr̥dayasya/hr̥tpīḍā [pain in the cardiac region], hr̥cchūlam/śūlam [pain in the precordium/cardiac region], ādhmānam [abdominal distension], prāṇasya ca vilōmatvam/prāṇavilōmatā [reversion of the respirato/reverse direction of pranavāyu/inspiration?], bhaktadvēṣaḥ [aversion to food], aratiḥ parā [severe distress/dicontent/restlessness], vadanasya vairasyam [tastelessness], śaṅkhabhēdaḥ [breaking type of pain in temporal regions] -",prodromes of śvāsa
EA-4.2,mahāśvāsaḥ,"mahāśvāsaḥ mahāśvāsaḥ the disorder is characterized by uccaiḥ śvasiti saṁrabdhō mattarṣabha ivāniśam / uddhūyamānaḥ saṁrabdhō mattarṣabha ivāniśam [takes deep respiration incessantly produce a sound just like an excited and restrained], uddhūyamānavātō yaḥ śabdavadduḥkhitō naraḥ [person on account of vāyu], pranaṣṭajñānavijñānaḥ [loss of knowledge, wisdom/conciousness], vibhrāntalōcanaḥ/vibhāntanayanaḥ [one who rolls the eyes or casts side glances], vibhrāntānanaḥ [confused face/wide open mouth], vikr̥tākṣi [distorted eyes/dilated eyes], vikr̥tānanaḥ [ugly faced], baddhamūtraḥ [retention of urine], baddhavarcaḥ [retained stool/contipation], viśīrṇavāk [shattered voice], dīnaḥ [timid or apathy], dūrāt vijñāyatē bhr̥śaṁ praśvasitam [dyspnoea is recognized from far distance also], niḥsaṁjñaḥ/muhurmuhyan [frequent fainting/unconsciousness], pārśvaśūlārtaḥ [pain in sides of chest/flanks], śuṣkakaṇṭhaḥ [dryness of throat], atighōṣavān [with high sound], saṁrabdhanētraḥ [bulging of eyes], āyamya yaḥ śvasyāt [stretching of body on breathing], mahatā nādēna śvasiti [breathing with high sound], krathan [snoring due to obstruction to respiration], vakṣaḥ samākṣipan [convulsive movement of chest], karṇātiruk [severe pain in ears], śaṅkhātiruk [severe pain in temporal region], śirōऽtiruk [severe pain in head] -",mahāśvāsa
EA-4.3,ūrdhvaśvāsaḥ,"ūrdhvaśvāsaḥ ūrdhvaśvāsaḥ the disorder is characterized by dīrghaṁ śvasiti yastūrdhvaṁ na ca pratyāharatyadhaḥ / dīrghaṁ ūrdhvaṁ śvasiti ūrdhvāt na ca pratyāharatyadhaḥ [not able to deep breathing, only shallow breathing], ūrdhvadr̥ṣṭirvipaśyan [his eyes turns upwards/upward gaze], vibhrāntākṣa itastataḥ/vīkṣatē bhrāntam akṣiṇī paritaḥ kṣipan [rolling of eyes in all directions], pramuhyan [fainting], vēdanārtaḥ/paridēvī [severe pain], śuṣkāsyaḥ (śuklāsyaḥ iti pāṭhabhēdaḥ) [dryness of mouth/whitishness of mouth], aratipīḍitaḥ [severe distress/dicontent/restlessness], ūrdhvaśvāsē prakupitē hi adhaḥśvāsō nirudhyatē [deep breathing is hampered due to shortness of breath], muhyataḥ/muhuśca mūḍhaḥ [fainting], tāmyataḥ [distressed], asūn hanti [leads to death], ūrdhvaprēkṣī/ūrdhvadr̥k [upward gaze], hataravaḥ/niruddhavāk [obstructed /suffocated voice] -",ūrdhvaśvāsa
EA-4.4,chinnaśvāsaḥ,"chinnaśvāsaḥ chinnaśvāsaḥ the disorder is characterized by ānāhaḥ/ādhmātaḥ/sānāhaḥ [barborygmus with distention], svēdārtaḥ/sasvēdaḥ [with perspiration], mūrcchārtaḥ/samūrcchaḥ [syncope/attacks of swooning], dahyamānēna bastinā/bastidāhaḥ [burning in the bladder], viplutākṣaḥ [confused dilated eyes], parikṣīṇaḥ śvasan [excessively weak respiration], raktaikalōcanaḥ [redness of one eye], vicētaḥ/vicētanaḥ [senseless/unconciousness], pariśuṣkāsyaḥ/śuṣkāsyaḥ [dryness of mouth], vivarṇaḥ [discolouration of face], pralapan [excess talking/irrelevant speech/incoherent speech], vicchinnaḥ (vimuktasandhibandhaḥ) [afflicted with (loosening of joints/ligaments)], sarujam/marmacchēdarujārditaḥ [with pain/pain due to affliction of marma- vital points], bastinirōdhavān [supression of urine], adhōdr̥k [downward gaze], muhyan [fainting], dīnaḥ [timid or apathy], naṣṭacchāyaḥ [loss of lustre/charm], vijahāti asūn/prajahāti asūn [leads to death] -",chinnaśvāsa
EA-4.5,(a) tamakaśvāsaḥ,"(a) tamakaśvāsaḥ (a) tamakaśvāsaḥ It is characterised by difficult rapid respiration, tightness of chest,wheezing, cough with difficulty to expel sputum. This may be explained by: (a) Obstruction of respiratory passages due to vitiation of kapha and vata. -",Bronchial asthma disorder (TM2)
EA-4.5.1,(a)pratamakaśvāsaḥ,(a)pratamakaśvāsaḥ (a)pratamakaśvāsaḥ - -,"Bronchial asthma with fever, fainting disorder (TM2) ⇒"
EA-4.5.2,(a)santamakaśvāsaḥ,(a)santamakaśvāsaḥ (a)santamakaśvāsaḥ - -,Bronchial asthma aggravating with darkness disorder (TM2) ⇒
EA-4.6,,- -,kṣudraśvāsa
EA-4.7,,- -,complications of śvāsa
EA-4.8,,- -,fatal signs of śvāsa
EA-5,(a) svarabhedaḥ,"(a) svarabhedaḥ (a) svarabhedaḥ It is characterised by abnormal quality,pitch or volume of voice. This may be explained by: (a) Vitiated dosha affecting the speech faculties. -",Indistinct- abnormal voice disorder (TM2)
EA-5.1,,- -,svarabhēda due to vāta
EA-5.2,,- -,svarabhēda due to pitta
EA-5.3,,- -,svarabhēda due to kapha
EA-5.4,,- -,svarabhēda due to three dōṣa
EA-5.5,,- -,svarabhēda due to consumption
EA-5.6,,- -,svarabhēda due to mēdas
EA-5.7,,- -,svarabhēda due to rakta
EA-5.8,,- -,svarabhēda due to kāsa
