namc_code,namc_term_diacritical,short_definition,long_definition,icd_code,query,pred_top1,pred_top3
ABB-8(SP9Y),(a) aṃsadāhaḥ,-,-,,(a) aṃsadāhaḥ (a) aṃsadāhaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
SM10(ABB-9),(a) āsyavipākaḥ                     (a) mukhpākaḥ,-,"It is characterised by ulcer in the mouth, tongue and spread towards oesophagus and stomach. This may be explained by: (a) Increased pittadosha affecting the mouth.",,"(a) āsyavipākaḥ (a) mukhpākaḥ (a) āsyavipākaḥ (a) mukhpākaḥ it is characterised by ulcer in the mouth, tongue and spread towards oesophagus and stomach. this may be explained by: (a) increased pittadosha affecting the mouth.",SN4W,"['SN4W', 'SM10', 'SM3D']"
ABB-10(SP9Y),(a) ūṣmādhikyam,-,-,,(a) ūṣmādhikyam (a) ūṣmādhikyam,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-11(SP9Y),(a) oṣaḥ,-,-,,(a) oṣaḥ (a) oṣaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-12,kakṣā (kēvalapitta),-,"the disorder is characterized by sarvaśarīragāḥ visphōṭakāḥ [blisters all over body], sarāgajvaratarṣayuktāḥ sphōṭāḥ [reddish blisters with fever, thirst]",,"kakṣā (kēvalapitta) kakṣā (kēvalapitta) the disorder is characterized by sarvaśarīragāḥ visphōṭakāḥ [blisters all over body], sarāgajvaratarṣayuktāḥ sphōṭāḥ [reddish blisters with fever, thirst]",SP54,"['SP54', 'SS56', 'SN4M']"
ABB-13,kāmalā (kēvalapitta),-,-,,kāmalā (kēvalapitta) kāmalā (kēvalapitta),SM41,"['SM41', 'ST20', 'SM93']"
ABB-14,galapākaḥ (kēvalapitta),-,-,,galapākaḥ (kēvalapitta) galapākaḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-15,gudapākaḥ/gudakuṭṭanam (kēvalapitta),-,-,,gudapākaḥ gudakuṭṭanam (kēvalapitta) gudapākaḥ gudakuṭṭanam (kēvalapitta),SM54,"['SM54', 'ST20', 'SM94']"
ABB-16,jīvādānaḥ (kēvalapitta),-,-,,jīvādānaḥ (kēvalapitta) jīvādānaḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-17(SP98),"(a) tamapraveśaḥ, (a) tamaḥ-atidarśanam",-,-,,"(a) tamapraveśaḥ, (a) tamaḥ atidarśanam (a) tamapraveśaḥ, (a) tamaḥ atidarśanam",SP98,"['SP98', 'ST20', 'SM99']"
ABB-18,tiktāsyatā (kēvalapitta),-,-,,tiktāsyatā (kēvalapitta) tiktāsyatā (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-19,tr̥ṣṇādhikyam (kēvalapitta),-,-,,tr̥ṣṇādhikyam (kēvalapitta) tr̥ṣṇādhikyam (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-20,tvagavadaraṇam (kēvalapitta),-,-,,tvagavadaraṇam (kēvalapitta) tvagavadaraṇam (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-21(SP9Y),(a) tvagdāhaḥ,-,-,,(a) tvagdāhaḥ (a) tvagdāhaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-22(SP9Y),(a) davaḥ,-,-,,(a) davaḥ (a) davaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-23(SP9Y),(a) davathuḥ,-,-,,(a) davathuḥ (a) davathuḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-24(SP9Y),(a) dāhaḥ,-,-,,(a) dāhaḥ (a) dāhaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-25(SP9Y),"(a) dhūmakaḥ, (a) dhūmodgāraḥ",-,-,,"(a) dhūmakaḥ, (a) dhūmodgāraḥ (a) dhūmakaḥ, (a) dhūmodgāraḥ",ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-26,akālapalitaḥ (kēvalapitta),-,-,,akālapalitaḥ (kēvalapitta) akālapalitaḥ (kēvalapitta),SN73,"['SN73', 'ST20', 'SM99']"
SM15(ABB-27),(a) pūtimukhatā,-,"It is characterised by putrid odour in the mouth. This may be explained by: (a) Vitiated kapha, pitta, blood affecting teeth and gums.",,"(a) pūtimukhatā (a) pūtimukhatā it is characterised by putrid odour in the mouth. this may be explained by: (a) vitiated kapha, pitta, blood affecting teeth and gums.",SM15,"['SM15', 'SS54', 'SR17']"
ABB-28(SP9Y),(a) ploṣaḥ,-,-,,(a) ploṣaḥ (a) ploṣaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-29(SP2Y),(a) māṃsakledaḥ,-,-,,(a) māṃsakledaḥ (a) māṃsakledaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-30(SP9Y),(a) māṃsadāhaḥ,-,-,,(a) māṃsadāhaḥ (a) māṃsadāhaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
SN00(ABB-31),(a) meḍhrapākaḥ,-,"It is characterised by painful swelling and redness of the penis may be associated with radiating pain to loin and thigh region. This may be explained by: (a) Aggravation of pitta affecting skin, muscle resulting in inflammation.",,"(a) meḍhrapākaḥ (a) meḍhrapākaḥ it is characterised by painful swelling and redness of the penis may be associated with radiating pain to loin and thigh region. this may be explained by: (a) aggravation of pitta affecting skin, muscle resulting in inflammation.",SN00,"['SN00', 'SR17', 'SP94']"
ABB-32,raktakōṭhaḥ (kēvalapitta),-,-,,raktakōṭhaḥ (kēvalapitta) raktakōṭhaḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-33,raktavisphōṭaḥ (kēvalapitta),-,-,,raktavisphōṭaḥ (kēvalapitta) raktavisphōṭaḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-34,raktapittam (kēvalapitta),-,-,,raktapittam (kēvalapitta) raktapittam (kēvalapitta),SL81,"['SL81', 'SK90', 'ST20']"
ABB-35(SN5Y),(a) raktamaṇḍalam,-,-,,(a) raktamaṇḍalam (a) raktamaṇḍalam,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-36,lōhitagandhāsyatā (kēvalapitta),-,-,,lōhitagandhāsyatā (kēvalapitta) lōhitagandhāsyatā (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-37(SP9Y),(a) vidāhaḥ,-,-,,(a) vidāhaḥ (a) vidāhaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-38,śōṇitaklēdaḥ (kēvalapitta),-,"the disorder is characterized by śōṇitasya kr̥ṣṇatā daurgandhyaḥ tanutvāni [blackish, bad smell and diluted rakta]",,"śōṇitaklēdaḥ (kēvalapitta) śōṇitaklēdaḥ (kēvalapitta) the disorder is characterized by śōṇitasya kr̥ṣṇatā daurgandhyaḥ tanutvāni [blackish, bad smell and diluted rakta]",SN4F,"['SN4F', 'SM15', 'SM76']"
ABB-39,haritanētraḥ (kēvalapitta),-,-,,haritanētraḥ (kēvalapitta) haritanētraḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-40,haritamūtraḥ (kēvalapitta),-,-,,haritamūtraḥ (kēvalapitta) haritamūtraḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-41,haritavarcaḥ (kēvalapitta),-,-,,haritavarcaḥ (kēvalapitta) haritavarcaḥ (kēvalapitta),ST20,"['ST20', 'SM9A', 'SM8B']"
ABB-45(SN9Y),(a) carmadaraṇam                (a) carmadalanam,-,-,,(a) carmadaraṇam (a) carmadalanam (a) carmadaraṇam (a) carmadalanam,ST20,"['ST20', 'SM9A', 'SM8B']"
ABC,sthānaviśēṣa-kupitapittam,-,-,,sthānaviśēṣa kupitapittam sthānaviśēṣa kupitapittam,ST20,"['ST20', 'SM9A', 'SM8B']"
ABC-1,raktasthitapittakōpaḥ,-,"the disorder is characterized by dāhaḥ [burning sensation], visarpaḥ [spreading cellulitis/erysipelas]",,"raktasthitapittakōpaḥ raktasthitapittakōpaḥ the disorder is characterized by dāhaḥ [burning sensation], visarpaḥ [spreading cellulitis erysipelas]",SR1D,"['SR1D', 'SR18', 'SR13']"
ABC-2,māṁsasthitakaphakōpaḥ,-,the disorder is characterized by māṁsavakōthanam [putrifaction of māṁsa/muscle tissue],,māṁsasthitakaphakōpaḥ māṁsasthitakaphakōpaḥ the disorder is characterized by māṁsavakōthanam [putrifaction of māṁsa muscle tissue],SR52,"['SR52', 'SR60', 'SR61']"
ABC-3,mēdasthitapittakōpaḥ,-,"the disorder is characterized by sadāha-granthiḥ [eruptions having burning], svēdaḥ [perspiration], tr̥ṭ [thirst], vamanam [vomiting]",,"mēdasthitapittakōpaḥ mēdasthitapittakōpaḥ the disorder is characterized by sadāha granthiḥ [eruptions having burning], svēdaḥ [perspiration], tr̥ṭ [thirst], vamanam [vomiting]",SM3L,"['SM3L', 'SM76', 'SS2D']"
ABC-4,asthisthitapittakōpaḥ,-,the disorder is characterized by bhr̥śaṁ dāham [excessive burning sensation],,asthisthitapittakōpaḥ asthisthitapittakōpaḥ the disorder is characterized by bhr̥śaṁ dāham [excessive burning sensation],SR82,"['SR82', 'SP95', 'SK6J']"
ABC-5,majjāsthitapittakōpaḥ,-,"the disorder is characterized by hāridranakhaḥ [yellow coloured nail], hāridranētratā [yellow coloured eyes]",,"majjāsthitapittakōpaḥ majjāsthitapittakōpaḥ the disorder is characterized by hāridranakhaḥ [yellow coloured nail], hāridranētratā [yellow coloured eyes]",SP53,"['SP53', 'SM8D', 'SL81']"
ABC-6,śukrasthitapittakōpaḥ,-,"the disorder is characterized by pūtiśukram [putrid semen], pītāvabhāsaśukram [yellowish semen]",,"śukrasthitapittakōpaḥ śukrasthitapittakōpaḥ the disorder is characterized by pūtiśukram [putrid semen], pītāvabhāsaśukram [yellowish semen]",SS23,"['SS23', 'SR4E', 'SR4D']"
ABC-7,tvaksthitapittakōpaḥ,-,"the disorder is characterized by visphōṭaḥ [blisters], masūrikā [lentil shaped pustular eruptions on skin]",,"tvaksthitapittakōpaḥ tvaksthitapittakōpaḥ the disorder is characterized by visphōṭaḥ [blisters], masūrikā [lentil shaped pustular eruptions on skin]",SN4R,"['SN4R', 'SN42', 'SN41']"
ABC-8,snāyusthitapittakōpaḥ,-,the disorder is characterized by tr̥ṣam [thirst],,snāyusthitapittakōpaḥ snāyusthitapittakōpaḥ the disorder is characterized by tr̥ṣam [thirst],SS2D,"['SS2D', 'SP63', 'SS22']"
ABC-9,kōṣṭhasthitapittakōpaḥ,-,"the disorder is characterized by madaḥ [intoxication], tr̥ṭ [thirst], dāhaḥ [burning sensation]",,"kōṣṭhasthitapittakōpaḥ kōṣṭhasthitapittakōpaḥ the disorder is characterized by madaḥ [intoxication], tr̥ṭ [thirst], dāhaḥ [burning sensation]",SQ22,"['SQ22', 'SS2D', 'SP63']"
ABC-10,sirāsthitapittakōpaḥ,-,"the disorder is characterized by krōdhaḥ [anger], tāpaḥ [hotness], pralāpam [excess talking/irrelevant speech/incoherent speech]",,"sirāsthitapittakōpaḥ sirāsthitapittakōpaḥ the disorder is characterized by krōdhaḥ [anger], tāpaḥ [hotness], pralāpam [excess talking irrelevant speech incoherent speech]",SL07,"['SL07', 'SL21', 'ST0W']"
AB-1,nirāmapittam,-,"the disorder is characterized by ātāmram [copper coloured], pītam [yellow coloured], atyuṣṇam [excessively hot in nature], kaṭukarasaḥ [pungent taste], asthiram [unstable/mobile], vigandham [bad smell/smell of raw meat], rucipradam [offer ability to taste food], paktibalapradam [enhances digestion]",,"nirāmapittam nirāmapittam the disorder is characterized by ātāmram [copper coloured], pītam [yellow coloured], atyuṣṇam [excessively hot in nature], kaṭukarasaḥ [pungent taste], asthiram [unstable mobile], vigandham [bad smell smell of raw meat], rucipradam [offer ability to taste food], paktibalapradam [enhances digestion]",SR8A,"['SR8A', 'ST0Q', 'SM15']"
AB-2,sāmapittam,-,"the disorder is characterized by durgandham [foul smell], haritam [greenish], śyāvam [bluish black colour], amlam [sour taste], sthiram [stable/immobile], guruḥ [heaviness], amlikām [sour belching/eructation], hr̥ddāham [burning sensation in the precordial/cardiac region], kaṇṭhadāham [burning sensation in throat]",,"sāmapittam sāmapittam the disorder is characterized by durgandham [foul smell], haritam [greenish], śyāvam [bluish black colour], amlam [sour taste], sthiram [stable immobile], guruḥ [heaviness], amlikām [sour belching eructation], hr̥ddāham [burning sensation in the precordial cardiac region], kaṇṭhadāham [burning sensation in throat]",SR8F,"['SR8F', 'SL08', 'ST0P']"
AB-3,pittarōga-ariṣṭaḥ,-,"the disorder is characterized by haritābhā sirā [greenish coloured vessels], saṁvr̥tarōmakūpāḥ [covered by hair follicles]",,"pittarōga ariṣṭaḥ pittarōga ariṣṭaḥ the disorder is characterized by haritābhā sirā [greenish coloured vessels], saṁvr̥tarōmakūpāḥ [covered by hair follicles]",SN73,"['SN73', 'SN71', 'SP53']"
AC,ślēṣmavikāraḥ,-,-,,ślēṣmavikāraḥ ślēṣmavikāraḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ACA,dōṣāvasthā (kapha),-,-,,dōṣāvasthā (kapha) dōṣāvasthā (kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
SR1B(ACA-1),(a) kaphasañcayaḥ,-,It is characterized by heaviness of the body and lethargy. This may be explained by accumulation of kapha at the designated site.,,(a) kaphasañcayaḥ (a) kaphasañcayaḥ it is characterized by heaviness of the body and lethargy. this may be explained by accumulation of kapha at the designated site.,SR1B,"['SR1B', 'SR16', 'SR11']"
SR1C(ACA-2),(a) kaphavṛddhiḥ,-,"It is characterized by whitish discoloration of body, feeling of cold, reduced mobility of the body, heaviness of the body, fatigue, feeling of drowsiness, excessive sleep, loosening of joints. This may be explained by marked increase of kaphadosha functions and consequent physiological and pathological ramifications.",,"(a) kaphavṛddhiḥ (a) kaphavṛddhiḥ it is characterized by whitish discoloration of body, feeling of cold, reduced mobility of the body, heaviness of the body, fatigue, feeling of drowsiness, excessive sleep, loosening of joints. this may be explained by marked increase of kaphadosha functions and consequent physiological and pathological ramifications.",SR1C,"['SR1C', 'SR40', 'SN41']"
SR1A(ACA-2.1),(a) kaphaprakopaḥ,-,It is characterized by aversion to food and nausea. This may be explained by aggravation of kaphadosha at its designated site and preparing to cause certain morbidity.,,(a) kaphaprakopaḥ (a) kaphaprakopaḥ it is characterized by aversion to food and nausea. this may be explained by aggravation of kaphadosha at its designated site and preparing to cause certain morbidity.,SR1A,"['SR1A', 'SR12', 'SR1C']"
SR1D(ACA-3),(a) kaphaprasaraḥ,-,"It is characterized by tastelessness, indigestion, feeling of tiredness, vomiting. This may be explained by spreading of kaphadosha from the place of accumulation to other parts or entire body.",,"(a) kaphaprasaraḥ (a) kaphaprasaraḥ it is characterized by tastelessness, indigestion, feeling of tiredness, vomiting. this may be explained by spreading of kaphadosha from the place of accumulation to other parts or entire body.",SR1D,"['SR1D', 'SR1B', 'SR16']"
SR1E(ACA-4),(a) kaphakṣayaḥ,-,"It is characterized by dryness of body, burning sensation inside the body, laxity of joints, thirst, weakness, reduced sleep. This may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",,"(a) kaphakṣayaḥ (a) kaphakṣayaḥ it is characterized by dryness of body, burning sensation inside the body, laxity of joints, thirst, weakness, reduced sleep. this may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",SR1E,"['SR1E', 'SR1K', 'SR83']"
ACB,nānātmaja-ślēṣmavikāraḥ,-,-,,nānātmaja ślēṣmavikāraḥ nānātmaja ślēṣmavikāraḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-1,atisthaulyam (kēvala-kapha),-,-,,atisthaulyam (kēvala kapha) atisthaulyam (kēvala kapha),SP64,"['SP64', 'SR1C', 'SR1A']"
ACB-2(SM3B),(a) apaktiḥ,-,-,,(a) apaktiḥ (a) apaktiḥ,SM3B,"['SM3B', 'ST20', 'SM92']"
SP96(ACB-3),(a) ālasyam,-,It is characterised by unwillngness to take be physically active and avoiding engaging in mentally active activities. This may be explained by: (a) Excess kapha obstruting the mental faculties and pitta for intellect.,,(a) ālasyam (a) ālasyam it is characterised by unwillngness to take be physically active and avoiding engaging in mentally active activities. this may be explained by: (a) excess kapha obstruting the mental faculties and pitta for intellect.,SS30,"['SS30', 'SS54', 'SS3A']"
ACB-4,udardaḥ (kēvala-kapha),-,-,,udardaḥ (kēvala kapha) udardaḥ (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-5,kaṭukāṅkṣā (kēvala-kapha),-,-,,kaṭukāṅkṣā (kēvala kapha) kaṭukāṅkṣā (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-6,uṣṇakāmitā (kēvala-kapha),-,-,,uṣṇakāmitā (kēvala kapha) uṣṇakāmitā (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-7(SR0Y),(a) buddhimāndyam,-,-,,(a) buddhimāndyam (a) buddhimāndyam,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-8,acaitanyam (kēvala-kapha),-,-,,acaitanyam (kēvala kapha) acaitanyam (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-9,mūtrādhikyam (kēvala-kapha),-,-,,mūtrādhikyam (kēvala kapha) mūtrādhikyam (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-10,śukravr̥ddhiḥ/śukrādhikyam (kēvala-kapha),-,-,,śukravr̥ddhiḥ śukrādhikyam (kēvala kapha) śukravr̥ddhiḥ śukrādhikyam (kēvala kapha),SR1C,"['SR1C', 'SR4D', 'SR1A']"
ACB-11,śaityam-nānātmajaślēṣmavikāraḥ (kēvala-kapha),-,-,,śaityam nānātmajaślēṣmavikāraḥ (kēvala kapha) śaityam nānātmajaślēṣmavikāraḥ (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-12(SM1Y),"(a) kaṇṭhopalepaḥ, (a) mukhalepaḥ",-,-,,"(a) kaṇṭhopalepaḥ, (a) mukhalepaḥ (a) kaṇṭhopalepaḥ, (a) mukhalepaḥ",ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-13,galagaṇḍaḥ (kēvala-kapha),-,-,,galagaṇḍaḥ (kēvala kapha) galagaṇḍaḥ (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-14(SP9Y),(a) gurugātratā,-,-,,(a) gurugātratā (a) gurugātratā,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-15(SQ4Y),(a) tandrā,-,-,,(a) tandrā (a) tandrā,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-16(SM7Y),(a) tṛptiḥ,-,-,,(a) tṛptiḥ (a) tṛptiḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
SL72(ACB-17),(a) dhamanīpraticayaḥ,-,"It is characterised by dry skin, feeling of heaviness, cold extremities. This may be explained by: (a) Accumulation of kapha and medas in the vessels.",,"(a) dhamanīpraticayaḥ (a) dhamanīpraticayaḥ it is characterised by dry skin, feeling of heaviness, cold extremities. this may be explained by: (a) accumulation of kapha and medas in the vessels.",SR1B,"['SR1B', 'SR16', 'SR11']"
SQ40(ACB-18),(a) nidrādhikyam,-,"It is characterised by excess, prolonged deep sleep. This may be explained by: (a) Deranged digestive and metabolic factors, increased kapha and decreased vata.",,"(a) nidrādhikyam (a) nidrādhikyam it is characterised by excess, prolonged deep sleep. this may be explained by: (a) deranged digestive and metabolic factors, increased kapha and decreased vata.",SR8N,"['SR8N', 'SQ40', 'SR1C']"
ACB-19,balāsakaḥ (kēvala-kapha),-,-,,balāsakaḥ (kēvala kapha) balāsakaḥ (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-20,malādhikyam (kēvala-kapha),-,-,,malādhikyam (kēvala kapha) malādhikyam (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-21(SM1Y),(a) mukhamādhuryam,-,-,,(a) mukhamādhuryam (a) mukhamādhuryam,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-22,mukhasrāvaḥ/prasēkaḥ (kēvala-kapha),-,-,,mukhasrāvaḥ prasēkaḥ (kēvala kapha) mukhasrāvaḥ prasēkaḥ (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-23(SM3B),(a) agnimāndyam,-,-,,(a) agnimāndyam (a) agnimāndyam,SM3B,"['SM3B', 'ST20', 'SM92']"
ACB-24(SM7Y),(a) śleṣmodgiraṇam,-,-,,(a) śleṣmodgiraṇam (a) śleṣmodgiraṇam,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-25,śvētavarcastvam (kēvala-kapha),-,-,,śvētavarcastvam (kēvala kapha) śvētavarcastvam (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-26,śvētāvabhāsatā (kēvala-kapha),-,-,,śvētāvabhāsatā (kēvala kapha) śvētāvabhāsatā (kēvala kapha),SR1C,"['SR1C', 'SR1A', 'SR1D']"
ACB-27(SP9Y),(a) staimityam,-,-,,(a) staimityam (a) staimityam,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-28(SL6Y),(a) hṛdayopalepaḥ,-,-,,(a) hṛdayopalepaḥ (a) hṛdayopalepaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ACB-29(SK5Y),(a) ghargharavākyatā,-,-,,(a) ghargharavākyatā (a) ghargharavākyatā,ST20,"['ST20', 'SM9A', 'SM8B']"
ACC,sthānaviśēṣa-kupitakaphaḥ,-,-,,sthānaviśēṣa kupitakaphaḥ sthānaviśēṣa kupitakaphaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
ACC-1,tvak-sthitakaphakōpaḥ,-,"the disorder is characterized by stambham [rigidity], śvētāvabhāsatā [whitish dis colouration]",,"tvak sthitakaphakōpaḥ tvak sthitakaphakōpaḥ the disorder is characterized by stambham [rigidity], śvētāvabhāsatā [whitish dis colouration]",SK52,"['SK52', 'SL81', 'SM8D']"
ACC-2,raktasthitakaphakōpaḥ,-,the disorder is characterized by pāṇḍu [pallor/ anemia],,raktasthitakaphakōpaḥ raktasthitakaphakōpaḥ the disorder is characterized by pāṇḍu [pallor anemia],SL81,"['SL81', 'SM8D', 'SK30']"
ACC-3,māṁsasthitakaphakōpaḥ,-,"the disorder is characterized by arbuda [tumor], apacī [disease consisting of enlargement of the glands of the neck], ārdracarmāvanaddhābhagātratām [feeling as if body is covered with raw hide (carma)], atigauravam [feeling of heavyness]",,"māṁsasthitakaphakōpaḥ māṁsasthitakaphakōpaḥ the disorder is characterized by arbuda [tumor], apacī [disease consisting of enlargement of the glands of the neck], ārdracarmāvanaddhābhagātratām [feeling as if body is covered with raw hide (carma)], atigauravam [feeling of heavyness]",SN08,"['SN08', 'SR8A', 'SR40']"
ACC-4,mēdaḥsthitakaphakōpaḥ,-,"the disorder is characterized by sthūlatā [obesity], mēhaḥ [frequent and excessive micturition]",,"mēdaḥsthitakaphakōpaḥ mēdaḥsthitakaphakōpaḥ the disorder is characterized by sthūlatā [obesity], mēhaḥ [frequent and excessive micturition]",SP64,"['SP64', 'SS25', 'SM87']"
ACC-5,asthisthitakaphakōpaḥ,-,the disorder is characterized by asthistabdhatvam [loss of movement],,asthisthitakaphakōpaḥ asthisthitakaphakōpaḥ the disorder is characterized by asthistabdhatvam [loss of movement],SR64,"['SR64', 'SR65', 'SN12']"
ACC-6,majjāsthitakaphakōpaḥ,-,the disorder is characterized by śuklanētratvam [whitish eyes],,majjāsthitakaphakōpaḥ majjāsthitakaphakōpaḥ the disorder is characterized by śuklanētratvam [whitish eyes],SL81,"['SL81', 'SM8D', 'SK30']"
ACC-7,śukrasthitakaphakōpaḥ,-,the disorder is characterized by śukrasañcayam [accumilation of semen inside],,śukrasthitakaphakōpaḥ śukrasthitakaphakōpaḥ the disorder is characterized by śukrasañcayam [accumilation of semen inside],SS23,"['SS23', 'SR4E', 'SR4D']"
ACC-8,sirāsthitakaphakōpaḥ,-,"the disorder is characterized by vibandham [obstructs the flow], sirāsthaḥ atigauravam [heaviness of siras/blood vessels], stabdhagātratām [stiffness of the body]",,"sirāsthitakaphakōpaḥ sirāsthitakaphakōpaḥ the disorder is characterized by vibandham [obstructs the flow], sirāsthaḥ atigauravam [heaviness of siras blood vessels], stabdhagātratām [stiffness of the body]",SR4K,"['SR4K', 'SR4J', 'SR40']"
ACC-9,snāyusthitakaphakōpaḥ,-,the disorder is characterized by sandhiśūnyatvam [feeling of hollowness in joints],,snāyusthitakaphakōpaḥ snāyusthitakaphakōpaḥ the disorder is characterized by sandhiśūnyatvam [feeling of hollowness in joints],SR62,"['SR62', 'SK87', 'SM86']"
ACC-10,kōṣṭhasthakaphakōpaḥ,-,"the disorder is characterized by jaṭharōnnatiḥ [fullness and elevation of stomach/abdomen], arōcakaḥ [tastelessness], avipākaḥ [indigestion], kaphajāḥ gadāḥ [diseases caused by kapha]",,"kōṣṭhasthakaphakōpaḥ kōṣṭhasthakaphakōpaḥ the disorder is characterized by jaṭharōnnatiḥ [fullness and elevation of stomach abdomen], arōcakaḥ [tastelessness], avipākaḥ [indigestion], kaphajāḥ gadāḥ [diseases caused by kapha]",SM3B,"['SM3B', 'SR1C', 'SR1A']"
AC-1,sāmakaphaḥ,-,"the disorder is characterized by āvilaḥ [eyeball looks muddy/turbid], tantulaḥ [thready with filaments], styānaḥ [thick/dense], kaṇṭhadēśē avatiṣṭhatē [stagnates in the throat], durgandhaḥ [foul smell], kṣut-udgāra-vibandhakr̥t [loss of appetite and obstruct eructations]",,"sāmakaphaḥ sāmakaphaḥ the disorder is characterized by āvilaḥ [eyeball looks muddy turbid], tantulaḥ [thready with filaments], styānaḥ [thick dense], kaṇṭhadēśē avatiṣṭhatē [stagnates in the throat], durgandhaḥ [foul smell], kṣut udgāra vibandhakr̥t [loss of appetite and obstruct eructations]",SN44,"['SN44', 'SM89', 'SR8G']"
AC-2,nirāmakaphaḥ,-,"the disorder is characterized by phēnavān [frothy], piṇḍitaḥ [lumpy/dense], pāṇḍu [pallor/pale], niḥsāraḥ [clear light substance], agandhaḥ [free from foul smell/not having smell], vaktraśuddhiḥ [cleanses oral cavity/having clean oral cavity]",,"nirāmakaphaḥ nirāmakaphaḥ the disorder is characterized by phēnavān [frothy], piṇḍitaḥ [lumpy dense], pāṇḍu [pallor pale], niḥsāraḥ [clear light substance], agandhaḥ [free from foul smell not having smell], vaktraśuddhiḥ [cleanses oral cavity having clean oral cavity]",SR06,"['SR06', 'ST09', 'ST0B']"
AC-3,vaikr̥takaphaḥ,-,"the disorder is characterized by śaithilyam [looseness/laxity of body], kārśyam [emaciation], ālasyam [lethargy], klībatā [inability to perform sexual act/impotence], ajñānam [non cognizance], mōham [confusion/delirium]",,"vaikr̥takaphaḥ vaikr̥takaphaḥ the disorder is characterized by śaithilyam [looseness laxity of body], kārśyam [emaciation], ālasyam [lethargy], klībatā [inability to perform sexual act impotence], ajñānam [non cognizance], mōham [confusion delirium]",SP61,"['SP61', 'SQ00', 'SQ22']"
AD,sānnipātikavikāraḥ,-,-,,sānnipātikavikāraḥ sānnipātikavikāraḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AD-1,vātapittōlbaṇa-mandakaphasannipātaḥ,-,-,,vātapittōlbaṇa mandakaphasannipātaḥ vātapittōlbaṇa mandakaphasannipātaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AD-2,vātakaphōlbaṇa-hīnapittasannipātaḥ,-,-,,vātakaphōlbaṇa hīnapittasannipātaḥ vātakaphōlbaṇa hīnapittasannipātaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
