Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term
380,380,EJ,Vikkal Nōy,விக்கல் நோய்,Hiccups,,,vikkal nōy vikkal nōy vikkal nōy vikkal nōy விக்கல் நோய் விக்கல் நோய் விக்கல் நோய் விக்கல் நோய் hiccups hiccups hiccups,vikkal nōy
381,381,EJA,Vaḷi,வளி,Hiccups classified under Vali,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி hiccups classified under vali hiccups classified under vali hiccups classified under vali,vaḷi
382,382,EJA1.1,Vaḷi Vikkal Nōy,வளி விக்கல் நோய்,Hiccups due to derrangement of vali,"It is characterised by hiccup occuring repeatedly, rapid movement of eyeballs. It is explained increase of vali. Among the seven Uṭaṟtātukkaḷ, Cāram get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 281","vaḷi vikkal nōy vaḷi vikkal nōy vaḷi vikkal nōy vaḷi vikkal nōy வளி விக்கல் நோய் வளி விக்கல் நோய் வளி விக்கல் நோய் வளி விக்கல் நோய் hiccups due to derrangement of vali hiccups due to derrangement of vali hiccups due to derrangement of vali it is characterised by hiccup occuring repeatedly, rapid movement of eyeballs. it is explained increase of vali. among the seven uṭaṟtātukkaḷ, cāram get affected. kuppusamy mudhaliyar. 2007. pothu marthuvam 7th edition, chennai: department of indian medicine and homoeopathy.pg 281",vaḷi vikkal nōy
383,383,EJB,Aẕal,அழல்,Hiccups classified under Azhal,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் hiccups classified under azhal hiccups classified under azhal hiccups classified under azhal,aẕal
384,384,EJB1.1,Aẕal Vikkal Nōy,அழல் விக்கல் நோய்,Hiccups due to derrangement of azhal,"It is characterised by hiccup occuring due to excessive appetite,fatigue, worries, hiccup sound arises from the larynx. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affeceted.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 282","aẕal vikkal nōy aẕal vikkal nōy aẕal vikkal nōy aẕal vikkal nōy அழல் விக்கல் நோய் அழல் விக்கல் நோய் அழல் விக்கல் நோய் அழல் விக்கல் நோய் hiccups due to derrangement of azhal hiccups due to derrangement of azhal hiccups due to derrangement of azhal it is characterised by hiccup occuring due to excessive appetite,fatigue, worries, hiccup sound arises from the larynx. it is explained by increase of aẕal and then vali. among the seven uṭaṟtātukkaḷ, cāram and cennīr get affeceted. kuppusamy mudhaliyar. 2007. pothu marthuvam 7th edition, chennai: department of indian medicine and homoeopathy.pg 282",aẕal vikkal nōy
385,385,EJC,Aiyam,ஐயம்,Hiccups classified under Aiyam,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் hiccups classified under aiyam hiccups classified under aiyam hiccups classified under aiyam,aiyam
386,386,EJC1.1,Aiyavikkal Mūḷai,ஐய விக்கல் நோய்,Hiccups due to derrangement of aiyyam,"It is characterised by hiccup, dryness of throat, paleness of face, watering of eyes, eye congestion, excessive mucus secretion and indigestion. It is explained by increase of aiyam and then Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and seneer get affect","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 282","aiyavikkal mūḷai aiyavikkal mūḷai aiyavikkal mūḷai aiyavikkal mūḷai ஐய விக்கல் நோய் ஐய விக்கல் நோய் ஐய விக்கல் நோய் ஐய விக்கல் நோய் hiccups due to derrangement of aiyyam hiccups due to derrangement of aiyyam hiccups due to derrangement of aiyyam it is characterised by hiccup, dryness of throat, paleness of face, watering of eyes, eye congestion, excessive mucus secretion and indigestion. it is explained by increase of aiyam and then aẕal. among the seven uṭaṟtātukkaḷ, cāram and seneer get affect kuppusamy mudhaliyar. 2007. pothu marthuvam 7th edition, chennai: department of indian medicine and homoeopathy.pg 282",aiyavikkal mūḷai
387,387,EJC1.2,Ceṟiya Vikkal Nōy,செரியா விக்கல் நோய்,Hiccups due to gastroesophageal reflux,"it is characterised by hiccup caused by eating too hot foods, dryness of throat, hoarseness of voice and cough, hiccup will not subside until the food gets digested. It is explained by increase of aiyam and then decrease of Aẕal. Among the seven Uṭaṟtātuk","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 283","ceṟiya vikkal nōy ceṟiya vikkal nōy ceṟiya vikkal nōy ceṟiya vikkal nōy செரியா விக்கல் நோய் செரியா விக்கல் நோய் செரியா விக்கல் நோய் செரியா விக்கல் நோய் hiccups due to gastroesophageal reflux hiccups due to gastroesophageal reflux hiccups due to gastroesophageal reflux it is characterised by hiccup caused by eating too hot foods, dryness of throat, hoarseness of voice and cough, hiccup will not subside until the food gets digested. it is explained by increase of aiyam and then decrease of aẕal. among the seven uṭaṟtātuk kuppusamy mudhaliyar. 2007. pothu marthuvam 7th edition, chennai: department of indian medicine and homoeopathy.pg 283",ceṟiya vikkal nōy
388,388,EJD,Mukkuṟṟam,முக்குற்றம்,Hiccups classified under mukkutram,,,mukkuṟṟam mukkuṟṟam mukkuṟṟam mukkuṟṟam முக்குற்றம் முக்குற்றம் முக்குற்றம் முக்குற்றம் hiccups classified under mukkutram hiccups classified under mukkutram hiccups classified under mukkutram,mukkuṟṟam
389,389,EJD1.1,Mukkuṟṟa Vikkal Nōy,முக்குற்ற விக்கல் நோய்,Hiccups due to derrangement of mukkutram,"It is characterised by hiccup arising from the abdomen, occurs repeatedly without interruption, chest pain, dyspnoea, extreme fatigue. It is explained by increase of mukkutram. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 282","mukkuṟṟa vikkal nōy mukkuṟṟa vikkal nōy mukkuṟṟa vikkal nōy mukkuṟṟa vikkal nōy முக்குற்ற விக்கல் நோய் முக்குற்ற விக்கல் நோய் முக்குற்ற விக்கல் நோய் முக்குற்ற விக்கல் நோய் hiccups due to derrangement of mukkutram hiccups due to derrangement of mukkutram hiccups due to derrangement of mukkutram it is characterised by hiccup arising from the abdomen, occurs repeatedly without interruption, chest pain, dyspnoea, extreme fatigue. it is explained by increase of mukkutram. among the seven uṭaṟtātukkaḷ, cāram and cennīr get affected. kuppusamy mudhaliyar. 2007. pothu marthuvam 7th edition, chennai: department of indian medicine and homoeopathy.pg 282",mukkuṟṟa vikkal nōy
390,390,F,Narampu Nōykaḷ,நரம்பு நோய்கள்,Neurological diseases,,,narampu nōykaḷ narampu nōykaḷ narampu nōykaḷ narampu nōykaḷ நரம்பு நோய்கள் நரம்பு நோய்கள் நரம்பு நோய்கள் நரம்பு நோய்கள் neurological diseases neurological diseases neurological diseases,narampu nōykaḷ
391,391,FA,Caṉṉi Nōy,சன்னி நோய்,Delirium,,,caṉṉi nōy caṉṉi nōy caṉṉi nōy caṉṉi nōy சன்னி நோய் சன்னி நோய் சன்னி நோய் சன்னி நோய் delirium delirium delirium,caṉṉi nōy
392,392,FAD,Mukkuṟṟam,முக்குற்றம்,Delirium classified under mukkutram,,,mukkuṟṟam mukkuṟṟam mukkuṟṟam mukkuṟṟam முக்குற்றம் முக்குற்றம் முக்குற்றம் முக்குற்றம் delirium classified under mukkutram delirium classified under mukkutram delirium classified under mukkutram,mukkuṟṟam
393,393,FAD1.1,Cantika Caṉṉi,சந்திக சன்னி,Delirium with arthalgia affecting due to vatha Iyam,"It is characterised by generalised pricking pain ,arthralgia in ankle and knee joint, unable to open eyes, stupor, burning sensation of the body with chillness. It is explained by increase vali influencing aiyam affects vyanan. Among the seven Uṭaṟtātukk","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-471","cantika caṉṉi cantika caṉṉi cantika caṉṉi cantika caṉṉi சந்திக சன்னி சந்திக சன்னி சந்திக சன்னி சந்திக சன்னி delirium with arthalgia affecting due to vatha iyam delirium with arthalgia affecting due to vatha iyam delirium with arthalgia affecting due to vatha iyam it is characterised by generalised pricking pain ,arthralgia in ankle and knee joint, unable to open eyes, stupor, burning sensation of the body with chillness. it is explained by increase vali influencing aiyam affects vyanan. among the seven uṭaṟtātukk yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-471",cantika caṉṉi
394,394,FAD1.2,Antaka Caṉṉi,அந்தக சன்னி,Delirium with dyspepsia leading to fatal,"It is characterised by dryness of tongue,intense thirst,burning sensation of the body,giddiness,vomitting,muttering,hiccough,mlaise,heaviness of the head. It is explained by increase vali affects udanan,samanan. Among the seven Uṭaṟtātukkaḷ,saram and se","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-472","antaka caṉṉi antaka caṉṉi antaka caṉṉi antaka caṉṉi அந்தக சன்னி அந்தக சன்னி அந்தக சன்னி அந்தக சன்னி delirium with dyspepsia leading to fatal delirium with dyspepsia leading to fatal delirium with dyspepsia leading to fatal it is characterised by dryness of tongue,intense thirst,burning sensation of the body,giddiness,vomitting,muttering,hiccough,mlaise,heaviness of the head. it is explained by increase vali affects udanan,samanan. among the seven uṭaṟtātukkaḷ,saram and se yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-472",antaka caṉṉi
395,395,FAD1.3,Ruttāka Caṉṉi,ருத்தாக சன்னி,Helirium with dehydration,"It is characterised by agony,burning sensation of the body,phobia,neck pain,generalized pricking pain,dryness of lips,sweating in the forehead,complaining to others. It is explained by increase Aẕal affecting vali and aiyam affects vyanan. Among the seven","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-473","ruttāka caṉṉi ruttāka caṉṉi ruttāka caṉṉi ruttāka caṉṉi ருத்தாக சன்னி ருத்தாக சன்னி ருத்தாக சன்னி ருத்தாக சன்னி helirium with dehydration helirium with dehydration helirium with dehydration it is characterised by agony,burning sensation of the body,phobia,neck pain,generalized pricking pain,dryness of lips,sweating in the forehead,complaining to others. it is explained by increase aẕal affecting vali and aiyam affects vyanan. among the seven yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-473",ruttāka caṉṉi
396,396,FAD1.4,Citta Viprama Caṉṉi,சித்த விப்ரம சன்னி,delirium with amnesia due to vali azhal,"It is characterised by generalized bodyache, aggravated vali Aẕal,stupor,changes in ones personality,muttering, wheeze, dyspnoea,intractable diarrhoea and leads to fatal. It is explained by increase Aẕal influences vali and aiyam affects nagan. Among the","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-474","citta viprama caṉṉi citta viprama caṉṉi citta viprama caṉṉi citta viprama caṉṉi சித்த விப்ரம சன்னி சித்த விப்ரம சன்னி சித்த விப்ரம சன்னி சித்த விப்ரம சன்னி delirium with amnesia due to vali azhal delirium with amnesia due to vali azhal delirium with amnesia due to vali azhal it is characterised by generalized bodyache, aggravated vali aẕal,stupor,changes in ones personality,muttering, wheeze, dyspnoea,intractable diarrhoea and leads to fatal. it is explained by increase aẕal influences vali and aiyam affects nagan. among the yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-474",citta viprama caṉṉi
397,397,FAD1.5,Cītāṅka Caṉṉi,சீதாங்க சன்னி,Delirium due to increased coldness in the body,"It is characterised by chillness all over the body,continuous cough,dyspnoea,hiccough,vomiting,stupor,tremors,frequent diarrhoea,muttering. It is explained by increase aiyam,affects udanan,vyanan,abanan & nagan. Among the seven Uṭaṟtātukkaḷ,Cāram, senn","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-475","cītāṅka caṉṉi cītāṅka caṉṉi cītāṅka caṉṉi cītāṅka caṉṉi சீதாங்க சன்னி சீதாங்க சன்னி சீதாங்க சன்னி சீதாங்க சன்னி delirium due to increased coldness in the body delirium due to increased coldness in the body delirium due to increased coldness in the body it is characterised by chillness all over the body,continuous cough,dyspnoea,hiccough,vomiting,stupor,tremors,frequent diarrhoea,muttering. it is explained by increase aiyam,affects udanan,vyanan,abanan & nagan. among the seven uṭaṟtātukkaḷ,cāram, senn yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-475",cītāṅka caṉṉi
398,398,FAD1.6,Tāntarika Caṉṉi,தாந்தரீக சன்னி,Delirium with prostration,"It is characterised by muttering,blackish discoloration of tongue,dryness with thorny texture,thirst,diarrhoea,dyspnoeic,pruritus ,edema around eyes with lacrimation & hyperpyrexia. It is explained by increase aiyam influences Aẕal affects udanan,nagan,vy","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-476","tāntarika caṉṉi tāntarika caṉṉi tāntarika caṉṉi tāntarika caṉṉi தாந்தரீக சன்னி தாந்தரீக சன்னி தாந்தரீக சன்னி தாந்தரீக சன்னி delirium with prostration delirium with prostration delirium with prostration it is characterised by muttering,blackish discoloration of tongue,dryness with thorny texture,thirst,diarrhoea,dyspnoeic,pruritus ,edema around eyes with lacrimation & hyperpyrexia. it is explained by increase aiyam influences aẕal affects udanan,nagan,vy yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-476",tāntarika caṉṉi
399,399,FAD1.7,Kaṇṭakupca Caṉṉi,கண்டகுப்ச சன்னி,Delirium with constriction of throat,"It is characterised by phobia,neck stiffness,panic attacks followed by stupor,heaviness of the body,vomiting, hiccough,cough, & pain in the chest & head. It is explained by increase vali influencing Aẕal affects udanan,nagan. Among the seven Uṭaṟtātukk","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-477","kaṇṭakupca caṉṉi kaṇṭakupca caṉṉi kaṇṭakupca caṉṉi kaṇṭakupca caṉṉi கண்டகுப்ச சன்னி கண்டகுப்ச சன்னி கண்டகுப்ச சன்னி கண்டகுப்ச சன்னி delirium with constriction of throat delirium with constriction of throat delirium with constriction of throat it is characterised by phobia,neck stiffness,panic attacks followed by stupor,heaviness of the body,vomiting, hiccough,cough, & pain in the chest & head. it is explained by increase vali influencing aẕal affects udanan,nagan. among the seven uṭaṟtātukk yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-477",kaṇṭakupca caṉṉi
400,400,FAD1.8,Karṇika Caṉṉi,கர்ணிக சன்னி,Delirium with otitis,"It is characterised by earache due to inflammation ,deafness,lockjaw,dyspnoea,cough,thirst,oral stomatitis,blackish discoloration of the tongue,tremors,heaviness of the head,muttering. It is explained by increase aiyam affects udanan,nagan,pranan. Among t","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-478","karṇika caṉṉi karṇika caṉṉi karṇika caṉṉi karṇika caṉṉi கர்ணிக சன்னி கர்ணிக சன்னி கர்ணிக சன்னி கர்ணிக சன்னி delirium with otitis delirium with otitis delirium with otitis it is characterised by earache due to inflammation ,deafness,lockjaw,dyspnoea,cough,thirst,oral stomatitis,blackish discoloration of the tongue,tremors,heaviness of the head,muttering. it is explained by increase aiyam affects udanan,nagan,pranan. among t yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-478",karṇika caṉṉi
401,401,FAD1.9,Pukṉanēttira Caṉṉi,புக்னநேத்திர சன்னி,Delirium with opthalmic disease,"It is characterised by redness of eyes,dimness of vision,both the eyelids gets sticky due to mucus secretion, arthralgia,myalgia,osteodynia,cold extremities,delusion,cramps, muttering. It is explained by increase vali affects vyanan,nagan. Among the seve","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-479","pukṉanēttira caṉṉi pukṉanēttira caṉṉi pukṉanēttira caṉṉi pukṉanēttira caṉṉi புக்னநேத்திர சன்னி புக்னநேத்திர சன்னி புக்னநேத்திர சன்னி புக்னநேத்திர சன்னி delirium with opthalmic disease delirium with opthalmic disease delirium with opthalmic disease it is characterised by redness of eyes,dimness of vision,both the eyelids gets sticky due to mucus secretion, arthralgia,myalgia,osteodynia,cold extremities,delusion,cramps, muttering. it is explained by increase vali affects vyanan,nagan. among the seve yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-479",pukṉanēttira caṉṉi
402,402,FAD1.10,Raktaṣṭīvi Caṉṉi,இரக்தஸ்டீவி சன்னி,Delirium with bleeding from g.i.t. and respiratory tract,"It is characterised by haemoptysis,haematemesis,diarrhoea with blood. Dryness of mouth,hyperpyrexia,delusion,memory loss,hiccough,giddiness,blackish discoloration of tongue,deafness. It is explained by increase Aẕal affects abanan,nagan,vyanan. Among th","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-480","raktaṣṭīvi caṉṉi raktaṣṭīvi caṉṉi raktaṣṭīvi caṉṉi raktaṣṭīvi caṉṉi இரக்தஸ்டீவி சன்னி இரக்தஸ்டீவி சன்னி இரக்தஸ்டீவி சன்னி இரக்தஸ்டீவி சன்னி delirium with bleeding from g.i.t. and respiratory tract delirium with bleeding from g.i.t. and respiratory tract delirium with bleeding from g.i.t. and respiratory tract it is characterised by haemoptysis,haematemesis,diarrhoea with blood. dryness of mouth,hyperpyrexia,delusion,memory loss,hiccough,giddiness,blackish discoloration of tongue,deafness. it is explained by increase aẕal affects abanan,nagan,vyanan. among th yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-480",raktaṣṭīvi caṉṉi
403,403,FAD1.11,Piralāpa Caṉṉi,பிரலாப சன்னி,Delirium with incoherent speech,"It is characterised by increased muttering,incoherent speech,generalised burning sensation & pain,attacks others,fever,hiccough,goose hair,anxious speech. It is explained by increase vali affects udanan,vyanan,nagan. Among the seven Uṭaṟtātukkaḷ,saram, C","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-481","piralāpa caṉṉi piralāpa caṉṉi piralāpa caṉṉi piralāpa caṉṉi பிரலாப சன்னி பிரலாப சன்னி பிரலாப சன்னி பிரலாப சன்னி delirium with incoherent speech delirium with incoherent speech delirium with incoherent speech it is characterised by increased muttering,incoherent speech,generalised burning sensation & pain,attacks others,fever,hiccough,goose hair,anxious speech. it is explained by increase vali affects udanan,vyanan,nagan. among the seven uṭaṟtātukkaḷ,saram, c yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-481",piralāpa caṉṉi
404,404,FAD1.12,Cimmaka Caṉṉi,சிம்மக சன்னி,Delirium with fissures in tongue,"It is characterised by thorn-like texture of the tongue,blackish discoloration of the tongue,fissured,difficulty in speaking,poor hearing,hiccough,bodyache. It is explained by increase aiyam affects udanan,vyanan, & bothagam. Among the seven Uṭaṟtātukkal","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-482","cimmaka caṉṉi cimmaka caṉṉi cimmaka caṉṉi cimmaka caṉṉi சிம்மக சன்னி சிம்மக சன்னி சிம்மக சன்னி சிம்மக சன்னி delirium with fissures in tongue delirium with fissures in tongue delirium with fissures in tongue it is characterised by thorn-like texture of the tongue,blackish discoloration of the tongue,fissured,difficulty in speaking,poor hearing,hiccough,bodyache. it is explained by increase aiyam affects udanan,vyanan, & bothagam. among the seven uṭaṟtātukkal yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-482",cimmaka caṉṉi
405,405,FAD1.13,Apiniyāca Caṉṉi,அபிநியாச சன்னி,Delirium with dysfunction of panchendriyam due to Iyam,"It is characterised by dysfunction of sensory organs,anorexia,speechless,stupor,aggravated mukkutram,predominantlyIyanaadi,wheeze,cough,drynessoftongue,hallucination of many colored,coma,hyperpyrexia,glowing face.Thi can be explained by deranged mukuttra","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 470-483","apiniyāca caṉṉi apiniyāca caṉṉi apiniyāca caṉṉi apiniyāca caṉṉi அபிநியாச சன்னி அபிநியாச சன்னி அபிநியாச சன்னி அபிநியாச சன்னி delirium with dysfunction of panchendriyam due to iyam delirium with dysfunction of panchendriyam due to iyam delirium with dysfunction of panchendriyam due to iyam it is characterised by dysfunction of sensory organs,anorexia,speechless,stupor,aggravated mukkutram,predominantlyiyanaadi,wheeze,cough,drynessoftongue,hallucination of many colored,coma,hyperpyrexia,glowing face.thi can be explained by deranged mukuttra yugi munivar vaidhya chinthamani (perunool 800)first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 470-483",apiniyāca caṉṉi
406,406,FB,Vaḷippu,வலிப்பு,Epilepsy,,,vaḷippu vaḷippu vaḷippu vaḷippu வலிப்பு வலிப்பு வலிப்பு வலிப்பு epilepsy epilepsy epilepsy,vaḷippu
407,407,FBD,Mukkuṟṟam,முக்குற்றம்,Epilepsy classified under mukkuttram,,,mukkuṟṟam mukkuṟṟam mukkuṟṟam mukkuṟṟam முக்குற்றம் முக்குற்றம் முக்குற்றம் முக்குற்றம் epilepsy classified under mukkuttram epilepsy classified under mukkuttram epilepsy classified under mukkuttram,mukkuṟṟam
408,408,FBD1.1,Muppiṇi Valippu,முப்பிணி வலிப்பு,Epilepsy due to Vali aiyam,"It is characterised by jerking movements (clonic) of tongue and face.Neck and shoulder muscles becoming tense or rigid (tonic),seizures affecting ears,jaw and lips to deviate. Also known as Kumarakandan vali. This can be explained by of increased vali i","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 553- 554","muppiṇi valippu muppiṇi valippu muppiṇi valippu muppiṇi valippu முப்பிணி வலிப்பு முப்பிணி வலிப்பு முப்பிணி வலிப்பு முப்பிணி வலிப்பு epilepsy due to vali aiyam epilepsy due to vali aiyam epilepsy due to vali aiyam it is characterised by jerking movements (clonic) of tongue and face.neck and shoulder muscles becoming tense or rigid (tonic),seizures affecting ears,jaw and lips to deviate. also known as kumarakandan vali. this can be explained by of increased vali i k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 553- 554",muppiṇi valippu
409,409,FBD1.2,Kutirai Valippu,குதிரை வலிப்பு,Epilepsy preceded by pruritus,"It is characterised aura with generalised bodyache,pricking pain in the body,syncope, followed by seizures,bites teeth,increased sweating over the neck,head,shoulder and face.Tongue and face jerks and gets deviated.After getting relieved of seizures,pain","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 554","kutirai valippu kutirai valippu kutirai valippu kutirai valippu குதிரை வலிப்பு குதிரை வலிப்பு குதிரை வலிப்பு குதிரை வலிப்பு epilepsy preceded by pruritus epilepsy preceded by pruritus epilepsy preceded by pruritus it is characterised aura with generalised bodyache,pricking pain in the body,syncope, followed by seizures,bites teeth,increased sweating over the neck,head,shoulder and face.tongue and face jerks and gets deviated.after getting relieved of seizures,pain k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 554",kutirai valippu
410,410,FBD1.3,Kuraṅkuvalippu,குரங்கு வலிப்பு,Epilepsy due to mukkuttram,"It is characterised by rhythmic movements of upperlimb and lowerlimb keeping extended(clonic).Staring and upward rolling of eyes.It is explained by deranged mukkutram with bad prognosis. Among the seven Uṭaṟtātukkaḷ,Cāram,seneer,Ūṉ and Koẕuppu gets affe","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 555","kuraṅkuvalippu kuraṅkuvalippu kuraṅkuvalippu kuraṅkuvalippu குரங்கு வலிப்பு குரங்கு வலிப்பு குரங்கு வலிப்பு குரங்கு வலிப்பு epilepsy due to mukkuttram epilepsy due to mukkuttram epilepsy due to mukkuttram it is characterised by rhythmic movements of upperlimb and lowerlimb keeping extended(clonic).staring and upward rolling of eyes.it is explained by deranged mukkutram with bad prognosis. among the seven uṭaṟtātukkaḷ,cāram,seneer,ūṉ and koẕuppu gets affe k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 555",kuraṅkuvalippu
411,411,FBD1.4,Kākkai Valippu,காக்கை வலிப்பு,Epilepsy due to aiyam,"It is characterised by anxiety and panic attacks, staring look, difficulty in flexion of thigh muscles((tonic).Dryness of throat & tongue and phlegm in the throat, incontinence of urine and faeces and sweating occurs. It is explained by increased vali i","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 555-556","kākkai valippu kākkai valippu kākkai valippu kākkai valippu காக்கை வலிப்பு காக்கை வலிப்பு காக்கை வலிப்பு காக்கை வலிப்பு epilepsy due to aiyam epilepsy due to aiyam epilepsy due to aiyam it is characterised by anxiety and panic attacks, staring look, difficulty in flexion of thigh muscles((tonic).dryness of throat & tongue and phlegm in the throat, incontinence of urine and faeces and sweating occurs. it is explained by increased vali i k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 555-556",kākkai valippu
412,412,FBD1.5,Muyal Valippu,முயல் வலிப்பு,Epilepsy due to mukkuttram,"It is characterised by seizures, abdominal pain, frothy in the mouth,hands,legs, and eyes becomes rigid(tonicity).This can be explained by mukkutram affects vyanan,udanan,samanan,nagan. This condition onsets due to hydrophobia or pyrophobia.This is als","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 556","muyal valippu muyal valippu muyal valippu muyal valippu முயல் வலிப்பு முயல் வலிப்பு முயல் வலிப்பு முயல் வலிப்பு epilepsy due to mukkuttram epilepsy due to mukkuttram epilepsy due to mukkuttram it is characterised by seizures, abdominal pain, frothy in the mouth,hands,legs, and eyes becomes rigid(tonicity).this can be explained by mukkutram affects vyanan,udanan,samanan,nagan. this condition onsets due to hydrophobia or pyrophobia.this is als k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 556",muyal valippu
